Source,Category,Subcategory,Count,Percentage
Ground Truth,Modalities,Text,2980,63.53944562899787
Ground Truth,Modalities,Spatial,140,2.9850746268656714
Ground Truth,Modalities,Multimodal,407,8.678038379530918
Ground Truth,Modalities,Time series,421,8.976545842217485
Ground Truth,Modalities,Audio,55,1.1727078891257996
Ground Truth,Modalities,Video,140,2.9850746268656714
Ground Truth,Modalities,Graph,228,4.861407249466951
Ground Truth,Modalities,Image,317,6.759061833688699
Ground Truth,Modalities,Vision,2,0.042643923240938165
Ground Truth,TaskTypes,Retrieval,322,3.944145026947575
Ground Truth,TaskTypes,Classification,1839,22.525722684958353
Ground Truth,TaskTypes,Question answering,1555,19.04703576678099
Ground Truth,TaskTypes,Reasoning,1924,23.56687898089172
Ground Truth,TaskTypes,Summarization,176,2.1558059774620286
Ground Truth,TaskTypes,Regression,266,3.2582067613914747
Ground Truth,TaskTypes,Clustering,36,0.44096031357177856
Ground Truth,TaskTypes,Generation,732,8.966193042626164
Ground Truth,TaskTypes,Dialogue,226,2.768250857422832
Ground Truth,TaskTypes,Alignment,332,4.066634002939735
Ground Truth,TaskTypes,Forecasting,191,2.3395394414502695
Ground Truth,TaskTypes,Sequence labeling,92,1.1268985791278785
Ground Truth,TaskTypes,Translation,28,0.34296913277804997
Ground Truth,TaskTypes,Reinforcement learning,132,1.6168544830965212
Ground Truth,TaskTypes,Multimodal integration,195,2.388535031847134
Ground Truth,TaskTypes,Object detection,90,1.1024007839294463
Ground Truth,TaskTypes,Ranking,17,0.2082312591866732
Ground Truth,TaskTypes,Decision Making,8,0.09799118079372857
Ground Truth,TaskTypes,Safety,1,0.01224889759921607
Ground Truth,TaskTypes,Segmentation,2,0.02449779519843214
Ground Truth,Domains,Social,516,8.470124753775444
Ground Truth,Domains,Scientific / academic,892,14.64215364412344
Ground Truth,Domains,Economics,232,3.808273145108339
Ground Truth,Domains,Healthcare,289,4.743926460932371
Ground Truth,Domains,General,1646,27.019041365725542
Ground Truth,Domains,Entertainment,211,3.463558765594222
Ground Truth,Domains,Infrastructure,391,6.418253447143796
Ground Truth,Domains,Media,245,4.02166776099803
Ground Truth,Domains,Biology,96,1.5758371634931057
Ground Truth,Domains,Geospatial,69,1.1326329612606698
Ground Truth,Domains,Education,684,11.227839789888378
Ground Truth,Domains,Ontology,30,0.4924491135915955
Ground Truth,Domains,Robotics,126,2.068286277084701
Ground Truth,Domains,Vision,497,8.158240315167433
Ground Truth,Domains,Legal,52,0.8535784635587657
Ground Truth,Domains,Environmental,61,1.0013131976362442
Ground Truth,Domains,Chemistry,53,0.8699934340118188
Ground Truth,Domains,Spatial,2,0.032829940906106365
Ground Truth,Annotation,Fully Supervised,2769,44.099378881987576
Ground Truth,Annotation,Crowdsourced,1187,18.904284121675428
Ground Truth,Annotation,Expert Annotations,1698,27.042522694696608
Ground Truth,Annotation,Weakly Supervised,185,2.946329033285555
Ground Truth,Annotation,Self-Supervised,296,4.714126453256888
Ground Truth,Annotation,Reinforcement Feedback,139,2.2137283006848225
Ground Truth,Annotation,Curated,4,0.06370441153049848
Ground Truth,Annotation,Semi-Supervised,1,0.01592610288262462
Ground Truth,Size,Small,1209,30.936540429887412
Ground Truth,Size,Large,1062,27.175025588536332
Ground Truth,Size,Medium,1637,41.888433981576256
Ground Truth,Granularity,Document-level,1773,44.38047559449312
Ground Truth,Granularity,Sentence-level,1284,32.14017521902378
Ground Truth,Granularity,Token-level,205,5.131414267834793
Ground Truth,Granularity,Frame-level,260,6.508135168961202
Ground Truth,Granularity,Object-level,424,10.613266583229036
Ground Truth,Granularity,Pixel-level,49,1.2265331664580725
Ground Truth,Linguistic,monolingual,3706,94.83111566018424
Ground Truth,Linguistic,multilingual,193,4.9385875127942676
Ground Truth,Linguistic,cross-lingual,9,0.23029682702149437
Ground Truth,CognitiveAffective,Reasoning,2434,30.352911834393314
Ground Truth,CognitiveAffective,Memory,442,5.51190921561292
Ground Truth,CognitiveAffective,Problem Solving,1310,16.336201521386705
Ground Truth,CognitiveAffective,Decision Making,830,10.350417757825166
Ground Truth,CognitiveAffective,Attention,515,6.4222471629879045
Ground Truth,CognitiveAffective,Emotion,344,4.289811697219104
Ground Truth,CognitiveAffective,Social Reasoning,510,6.359895248784138
Ground Truth,CognitiveAffective,Perception,767,9.564783638857714
Ground Truth,CognitiveAffective,Learning,435,5.4246165357276475
Ground Truth,CognitiveAffective,Cognitive Load,15,0.18705574261129815
Ground Truth,CognitiveAffective,Personality,31,0.38658186806334954
Ground Truth,CognitiveAffective,Moral Cognition,250,3.1175957101883025
Ground Truth,CognitiveAffective,Empathy,85,1.059982541464023
Ground Truth,CognitiveAffective,Theory of Mind,51,0.6359895248784138
Ground Truth,DataQuality,Curated,3377,86.36828644501279
Ground Truth,DataQuality,Noisy,533,13.631713554987213
GPT-5.1,Modalities,Text,2523,59.33678269049859
GPT-5.1,Modalities,Spatial,190,4.468485418626528
GPT-5.1,Modalities,Graph,189,4.444967074317968
GPT-5.1,Modalities,Multimodal,362,8.513640639698965
GPT-5.1,Modalities,Time series,462,10.865475070555034
GPT-5.1,Modalities,Audio,69,1.6227657572906868
GPT-5.1,Modalities,Image,323,7.596425211665099
GPT-5.1,Modalities,Video,134,3.151458137347131
GPT-5.1,TaskTypes,Retrieval,376,5.204152249134948
GPT-5.1,TaskTypes,Question answering,1099,15.211072664359863
GPT-5.1,TaskTypes,Reasoning,1298,17.965397923875432
GPT-5.1,TaskTypes,Classification,1496,20.705882352941178
GPT-5.1,TaskTypes,Clustering,50,0.6920415224913495
GPT-5.1,TaskTypes,Alignment,243,3.3633217993079585
GPT-5.1,TaskTypes,Generation,841,11.640138408304498
GPT-5.1,TaskTypes,Multimodal integration,192,2.657439446366782
GPT-5.1,TaskTypes,Summarization,229,3.1695501730103803
GPT-5.1,TaskTypes,Regression,302,4.179930795847751
GPT-5.1,TaskTypes,Object detection,146,2.0207612456747404
GPT-5.1,TaskTypes,Translation,68,0.9411764705882352
GPT-5.1,TaskTypes,Dialogue,266,3.6816608996539797
GPT-5.1,TaskTypes,Forecasting,303,4.193771626297578
GPT-5.1,TaskTypes,Reinforcement learning,153,2.1176470588235294
GPT-5.1,TaskTypes,Sequence labeling,142,1.9653979238754324
GPT-5.1,TaskTypes,Ranking,15,0.20761245674740486
GPT-5.1,TaskTypes,Decision Making,4,0.05536332179930796
GPT-5.1,TaskTypes,Segmentation,1,0.01384083044982699
GPT-5.1,TaskTypes,Problem Solving,1,0.01384083044982699
GPT-5.1,Domains,General,1324,24.859181374389784
GPT-5.1,Domains,Entertainment,173,3.2482162974089372
GPT-5.1,Domains,Social,577,10.833646263612467
GPT-5.1,Domains,Economics,183,3.435974464889223
GPT-5.1,Domains,Geospatial,88,1.6522718738265114
GPT-5.1,Domains,Infrastructure,424,7.9609463011641015
GPT-5.1,Domains,Healthcare,277,5.200901239203906
GPT-5.1,Domains,Scientific / academic,707,13.274502440856178
GPT-5.1,Domains,Education,444,8.33646263612467
GPT-5.1,Domains,Vision,443,8.317686819376643
GPT-5.1,Domains,Ontology,41,0.7698084866691701
GPT-5.1,Domains,Biology,67,1.2579797221179123
GPT-5.1,Domains,Legal,63,1.182876455125798
GPT-5.1,Domains,Robotics,160,3.0041306796845664
GPT-5.1,Domains,Media,257,4.825384904243334
GPT-5.1,Domains,Environmental,58,1.0889973713856553
GPT-5.1,Domains,Chemistry,40,0.7510326699211416
GPT-5.1,Annotation,Fully Supervised,2132,40.80382775119617
GPT-5.1,Annotation,Crowdsourced,1044,19.980861244019138
GPT-5.1,Annotation,Weakly Supervised,199,3.8086124401913874
GPT-5.1,Annotation,Reinforcement Feedback,137,2.6220095693779903
GPT-5.1,Annotation,Self-Supervised,396,7.578947368421053
GPT-5.1,Annotation,Expert Annotations,1313,25.129186602870814
GPT-5.1,Annotation,Semi-Supervised,1,0.019138755980861243
GPT-5.1,Annotation,Curated,3,0.05741626794258373
GPT-5.1,Size,Large,1596,48.95705521472393
GPT-5.1,Size,Medium,951,29.17177914110429
GPT-5.1,Size,Small,713,21.87116564417178
GPT-5.1,Granularity,Document-level,1499,43.61361652604015
GPT-5.1,Granularity,Object-level,430,12.510910677916787
GPT-5.1,Granularity,Sentence-level,942,27.407622926971197
GPT-5.1,Granularity,Token-level,254,7.390165842304334
GPT-5.1,Granularity,Frame-level,258,7.506546406750073
GPT-5.1,Granularity,Pixel-level,54,1.5711376200174572
GPT-5.1,Linguistic,monolingual,3005,92.17791411042946
GPT-5.1,Linguistic,multilingual,242,7.423312883435583
GPT-5.1,Linguistic,cross-lingual,13,0.39877300613496935
GPT-5.1,CognitiveAffective,Attention,459,6.588201521458304
GPT-5.1,CognitiveAffective,Memory,409,5.870532510406201
GPT-5.1,CognitiveAffective,Reasoning,1784,25.60643031433903
GPT-5.1,CognitiveAffective,Emotion,341,4.894502655375341
GPT-5.1,CognitiveAffective,Decision Making,821,11.784125161475528
GPT-5.1,CognitiveAffective,Perception,628,9.013922778814411
GPT-5.1,CognitiveAffective,Social Reasoning,553,7.937419262236256
GPT-5.1,CognitiveAffective,Learning,530,7.60729151715229
GPT-5.1,CognitiveAffective,Problem Solving,983,14.10937275728434
GPT-5.1,CognitiveAffective,Cognitive Load,14,0.20094732309458876
GPT-5.1,CognitiveAffective,Empathy,104,1.4927515429883738
GPT-5.1,CognitiveAffective,Moral Cognition,249,3.5739916750394713
GPT-5.1,CognitiveAffective,Theory of Mind,38,0.545428448399598
GPT-5.1,CognitiveAffective,Personality,54,0.775082531936271
GPT-5.1,DataQuality,Curated,2715,83.28220858895705
GPT-5.1,DataQuality,Noisy,545,16.717791411042946
Gemini 3 Pro,Modalities,Text,2434,61.23270440251572
Gemini 3 Pro,Modalities,Spatial,185,4.654088050314465
Gemini 3 Pro,Modalities,Time series,376,9.459119496855346
Gemini 3 Pro,Modalities,Graph,176,4.427672955974843
Gemini 3 Pro,Modalities,Multimodal,337,8.477987421383649
Gemini 3 Pro,Modalities,Image,283,7.119496855345912
Gemini 3 Pro,Modalities,Video,141,3.547169811320755
Gemini 3 Pro,Modalities,Audio,43,1.0817610062893082
Gemini 3 Pro,TaskTypes,Classification,1365,19.825708061002178
Gemini 3 Pro,TaskTypes,Retrieval,386,5.60639070442992
Gemini 3 Pro,TaskTypes,Clustering,45,0.6535947712418301
Gemini 3 Pro,TaskTypes,Summarization,223,3.238925199709514
Gemini 3 Pro,TaskTypes,Question answering,1046,15.192447349310095
Gemini 3 Pro,TaskTypes,Reasoning,1339,19.4480755265069
Gemini 3 Pro,TaskTypes,Forecasting,231,3.355119825708061
Gemini 3 Pro,TaskTypes,Generation,838,12.171387073347857
Gemini 3 Pro,TaskTypes,Multimodal integration,192,2.7886710239651413
Gemini 3 Pro,TaskTypes,Sequence labeling,116,1.6848220769789397
Gemini 3 Pro,TaskTypes,Reinforcement learning,141,2.047930283224401
Gemini 3 Pro,TaskTypes,Translation,43,0.6245461147421931
Gemini 3 Pro,TaskTypes,Alignment,266,3.8634713144517066
Gemini 3 Pro,TaskTypes,Dialogue,254,3.6891793754538855
Gemini 3 Pro,TaskTypes,Regression,262,3.805374001452433
Gemini 3 Pro,TaskTypes,Decision Making,6,0.08714596949891067
Gemini 3 Pro,TaskTypes,Object detection,117,1.6993464052287581
Gemini 3 Pro,TaskTypes,Ranking,10,0.14524328249818447
Gemini 3 Pro,TaskTypes,Evaluation,1,0.014524328249818447
Gemini 3 Pro,TaskTypes,Safety,3,0.04357298474945533
Gemini 3 Pro,TaskTypes,Problem Solving,1,0.014524328249818447
Gemini 3 Pro,Domains,General,1355,26.444184231069478
Gemini 3 Pro,Domains,Scientific / academic,701,13.680718188914911
Gemini 3 Pro,Domains,Entertainment,160,3.12256049960968
Gemini 3 Pro,Domains,Social,551,10.753317720530834
Gemini 3 Pro,Domains,Economics,210,4.098360655737705
Gemini 3 Pro,Domains,Geospatial,79,1.5417642466822794
Gemini 3 Pro,Domains,Infrastructure,398,7.767369242779079
Gemini 3 Pro,Domains,Environmental,60,1.1709601873536302
Gemini 3 Pro,Domains,Education,428,8.352849336455893
Gemini 3 Pro,Domains,Healthcare,253,4.937548790007806
Gemini 3 Pro,Domains,Vision,403,7.864949258391881
Gemini 3 Pro,Domains,Biology,59,1.1514441842310696
Gemini 3 Pro,Domains,Ontology,41,0.8001561280249805
Gemini 3 Pro,Domains,Robotics,139,2.712724434035909
Gemini 3 Pro,Domains,Media,193,3.7665886026541764
Gemini 3 Pro,Domains,Legal,58,1.1319281811085091
Gemini 3 Pro,Domains,Chemistry,35,0.6830601092896175
Gemini 3 Pro,Domains,Transportation,1,0.0195160031225605
Gemini 3 Pro,Annotation,Fully Supervised,1931,38.75953432356483
Gemini 3 Pro,Annotation,Crowdsourced,1030,20.67442794058611
Gemini 3 Pro,Annotation,Weakly Supervised,230,4.616619831393015
Gemini 3 Pro,Annotation,Self-Supervised,396,7.948615014050582
Gemini 3 Pro,Annotation,Expert Annotations,1264,25.37133681252509
Gemini 3 Pro,Annotation,Reinforcement Feedback,123,2.4688879967884385
Gemini 3 Pro,Annotation,Curated,6,0.12043356081894822
Gemini 3 Pro,Annotation,Semi-Supervised,2,0.04014452027298274
Gemini 3 Pro,Size,Large,1315,43.342122610415295
Gemini 3 Pro,Size,Medium,1004,33.09162821357943
Gemini 3 Pro,Size,Small,715,23.566249176005275
Gemini 3 Pro,Granularity,Document-level,1518,47.69085768143261
Gemini 3 Pro,Granularity,Object-level,297,9.330819981149858
Gemini 3 Pro,Granularity,Token-level,237,7.445805843543826
Gemini 3 Pro,Granularity,Sentence-level,851,26.73578385171222
Gemini 3 Pro,Granularity,Frame-level,219,6.8803016022620165
Gemini 3 Pro,Granularity,Pixel-level,59,1.853597235312598
Gemini 3 Pro,Granularity,Image-level,2,0.06283380458686773
Gemini 3 Pro,Linguistic,multilingual,249,8.206987475280158
Gemini 3 Pro,Linguistic,monolingual,2773,91.39749505603164
Gemini 3 Pro,Linguistic,cross-lingual,12,0.3955174686882004
Gemini 3 Pro,CognitiveAffective,Reasoning,1692,26.119172584130908
Gemini 3 Pro,CognitiveAffective,Memory,378,5.835134300710096
Gemini 3 Pro,CognitiveAffective,Emotion,338,5.217659771534424
Gemini 3 Pro,CognitiveAffective,Learning,492,7.59493670886076
Gemini 3 Pro,CognitiveAffective,Problem Solving,990,15.28249459709787
Gemini 3 Pro,CognitiveAffective,Decision Making,729,11.253473294226612
Gemini 3 Pro,CognitiveAffective,Perception,516,7.965421426366162
Gemini 3 Pro,CognitiveAffective,Attention,399,6.159308428527323
Gemini 3 Pro,CognitiveAffective,Empathy,87,1.3430071009570854
Gemini 3 Pro,CognitiveAffective,Social Reasoning,494,7.625810435319543
Gemini 3 Pro,CognitiveAffective,Moral Cognition,239,3.6894103118246377
Gemini 3 Pro,CognitiveAffective,Theory of Mind,57,0.8799012040753319
Gemini 3 Pro,CognitiveAffective,Personality,49,0.7564062982401976
Gemini 3 Pro,CognitiveAffective,Cognitive Load,18,0.2778635381290522
Gemini 3 Pro,DataQuality,Curated,2494,82.14756258234519
Gemini 3 Pro,DataQuality,Noisy,542,17.85243741765481
